automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,final_phase,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,max_xte_after_passing,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,recovery_time,resolution_time,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,t_clear,t_cpa,t_on_track,t_warning,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,unresolved,xte_final,xte_mean
assisted,assisted,243,0.17588525223682155,give_way,,0.0,243,10.0,1,0,safe_passage,34.12,12582.809579278028,clear,-1,none,182,34.88438527784537,7.121315208778111,0.04596918016431069,0,479.55866554288826,9.449307696616769,71,156.26990681853778,3693.5527140143554,22961.81770277875,22640.547175361913,880.0,1550.0,33658.28710995538,0.4194214876033058,0.6337448559670782,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,243,0,0,0,1,1550.0,-1,2430.0,-1,1,6.621146853791457,navigate,resolved_on_track,0.18801652892561985,59.94426566405651,0,123.05749885316934,395.55584034079686
assisted,assisted,-1,6.403332318162745,stand_on,2.35694453483473,0.0,57,10.0,0,2,domain_infringement,65.5,716.456877874772,action,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.45243280997886415,2,0.0,7.0675488260652966,135,108.62489493223538,716.456877874772,4028.502830857219,3966.5976508001845,-1,-1,33624.386688392755,0.48214285714285715,0.9912280701754386,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,57,41,1,0,0,-1,-1,-1,0.0,1,5.4915660267074795,navigate,domain_violation,0.08124999999999998,-67.65167523480264,0,170.81113220632503,223.26303409306118
assisted,assisted,267,0.1679583900831858,stand_on,28.536560121830554,0.0,267,10.0,1,1,close_quarters,47.8,16059.336655236655,clear,43,crossing_port,182,34.88438527784537,7.121315208778111,0.12230483974704782,1,290.4600490478443,7.645037087313202,71,58.79923816700695,2535.4702111354136,20412.24902312625,19738.083096722694,920.0,1320.0,33658.28710995538,0.25,0.7659176029962547,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,267,14,0,0,1,1750.0,1270.0,2670.0,430.0,1,6.621146853791457,navigate,resolved_on_track,0.09210526315789472,41.13953247094446,0,49.808898896710275,360.71683715611823
assisted,assisted,192,0.4679232661196693,give_way,16.567596724335093,0.0,192,10.0,0,1,close_quarters,51.59,6315.572420884774,clear,2,overtaking,48,40.07788034136007,8.928356092645075,0.21449069171438673,1,132.99513967501838,9.70843940263,135,10.015888676126416,1860.727088893837,18640.2036530496,18596.6470248313,170.0,1730.0,33624.386688392755,0.5209424083769634,0.6458333333333334,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,192,7,0,0,1,1750.0,780.0,1920.0,20.0,6,4.451103264139253,navigate,resolved_on_track,0.21256544502617802,83.83675019502971,0,119.46371938437888,81.21406754453535
assisted,assisted,275,0.08691419984088497,give_way,6.777106138884154,0.0,275,10.0,1,1,close_quarters,50.76,5534.905761005693,clear,29,overtaking,182,34.88438527784537,9.76627794661919,0.16913791581059626,1,119.57813406968486,8.935189399504267,71,4.551756365508085,2174.4293126940593,24571.770848636737,24355.49905658132,170.0,2290.0,33658.28710995538,0.4726277372262774,0.7018181818181818,overtaking,-11.838429607548731,-0.2972222140029685,6.61619030528383,3.0497662404866,19.354503663335798,23.045955670296635,275,1,0,0,1,2580.0,1120.0,2750.0,290.0,5,5.277715585999893,navigate,resolved_on_track,0.18266423357664238,94.7557907540166,0,10.25307458870201,115.0498037984978
assisted,assisted,219,0.347395124138302,stand_on,3.044952588427732,0.0,219,10.0,0,1,close_quarters,43.33,5765.802453093664,clear,0,overtaken,48,40.07788034136007,3.6189040617633834,0.15146008320239202,1,203.1126124562941,8.02546841218428,135,176.39435163096186,1888.1053859258352,17575.775822683572,17546.827156202442,170.0,2020.0,33624.386688392755,0.4908256880733945,0.6894977168949772,overtaken,14.874062965964004,-0.2527646797428006,-131.75363534859173,1.201816410216403,13.849013598640674,54.951943307324086,219,4,0,0,1,2020.0,80.0,2190.0,0.0,3,6.259575861348708,navigate,resolved_on_track,0.17821100917431193,85.11775816613972,0,20.02154354905995,57.868741391672614
assisted,assisted,213,0.004074709508813612,stand_on,,0.0,213,10.0,1,0,safe_passage,39.68,4957.393741261962,clear,-1,none,182,34.88438527784537,4.17751863107946,0.07926267316665328,0,176.55556099639153,8.37192326701302,71,35.07264797024524,3080.539003630728,17832.196558737734,17703.851307202494,170.0,1960.0,33658.28710995538,0.7193396226415094,0.6924882629107981,overtaken,-11.838429607548731,-0.2972222140029685,161.19500202861929,2.0322114198702517,19.354503663335798,23.045955670296635,213,0,0,0,1,1960.0,-1,2130.0,-1,0,7.74884998598837,navigate,resolved_on_track,0.1601415094339623,60.91012233185779,0,134.2854147169653,294.3857542593856
assisted,assisted,396,0.7730863436011532,stand_on,8.13476014762287,0.0,396,10.0,0,1,close_quarters,20.5,37539.08621423378,clear,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.38381116074090305,1,559.5718995764323,7.756620632706766,135,795.5787527472694,1184.8824674792018,30716.217705518793,30298.905916655393,2750.0,1210.0,33624.386688392755,0.21645569620253163,0.7272727272727273,data,,,,,,,396,1,0,0,1,1210.0,-1,3960.0,0.0,3,3.678797507411181,navigate,resolved_on_track,0.05316455696202531,73.2333068845752,0,155.60431102732457,288.7554464438814
assisted,assisted,392,0.8886541529710712,unknown,,0.0,392,10.0,1,0,safe_passage,39.26,34512.73589016577,clear,-1,none,183,49.79135122730751,3.551078736333993,0.18810189587311635,0,569.8968721193969,7.975550727420247,199,102.91520664763976,2023.4198340154355,31264.15885148737,30941.21438168588,2650.0,1270.0,33633.20149084063,0.24936061381074168,0.7168367346938775,data,,,,,,,392,0,0,0,1,1270.0,-1,3920.0,-1,1,2.827487299251865,navigate,resolved_on_track,0.07698209718670077,72.94750306951968,0,74.30261311491776,291.67404001676414
autonomous,autonomous,161,0.5091857892640747,both_give_way,20.75910664594415,0.0,161,10.0,0,1,close_quarters,58.09,10679.307893805842,clear,34,head_on,48,40.07788034136007,5.1661642161718415,0.624169902312443,1,347.35447660017593,8.649574576998731,135,2.6167704935184792,527.9177659668783,13925.815068967957,13680.488790890813,170.0,1100.0,33624.386688392755,0.428125,0.7919254658385093,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,161,52,0,0,1,1440.0,860.0,1610.0,340.0,3,5.4915660267074795,navigate,resolved_on_track,0.13124999999999998,10.912076231483617,0,162.3848539244733,282.2862711812062
autonomous,autonomous,316,0.19446614844364377,both_give_way,44.95999471476186,0.0,316,10.0,1,1,close_quarters,45.69,25045.524001198402,clear,51,crossing_starboard,182,34.88438527784537,7.121315208778111,0.024626967521877978,1,1030.6206862639142,7.733622640177966,71,74.2144892170493,4527.247212897573,24438.247542962374,23435.560013351456,1620.0,1030.0,33658.28710995538,0.3476190476190476,0.7294303797468354,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,316,3,0,0,1,1540.0,1240.0,3160.0,510.0,3,6.621146853791457,navigate,resolved_on_track,0.11777777777777779,36.598250166445666,0,38.49535208925285,451.5854203897035
autonomous,autonomous,202,0.2909298310433314,give_way,24.042085587744857,0.0,202,10.0,0,1,close_quarters,47.94,13290.458251005588,clear,17,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.088819480708542,1,631.7388318636109,8.215329423698341,135,46.76144538671642,2909.1576207784224,16594.96543587065,16269.393173529865,650.0,1200.0,33624.386688392755,0.4154228855721393,0.7103960396039604,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,202,16,0,0,1,1370.0,900.0,2020.0,170.0,1,5.4915660267074795,navigate,resolved_on_track,0.15671641791044777,39.454637746243996,0,98.33728012664596,354.0253343519225
autonomous,autonomous,251,0.1826087534683211,give_way,,0.0,251,10.0,1,0,safe_passage,40.66,12813.349895890027,clear,-1,none,182,34.88438527784537,7.121315208778111,0.052048948733312686,0,473.16811349224974,9.28417978818828,71,7.056463552311208,3669.0272923207103,23303.291268352586,22877.015324964395,860.0,1650.0,33658.28710995538,0.406,0.6215139442231076,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,251,0,0,0,1,1650.0,-1,2510.0,-1,3,6.621146853791457,navigate,resolved_on_track,0.2128,56.56202033357435,0,102.82962658666777,403.5748785750217
